Transition, Time (secs), Satisfiable
transition__S10__a__S03__mediante_met_markInspected,0.059,false
transition__S09__a__S01__mediante_met_modify,0.053,false
transition__S04__a__S10__mediante_met_modify,0.035,false
transition__S10__a__S04__mediante_met_markInspected,0.017,false
transition__S10__a__S05__mediante_met_markInspected,0.036,false
transition__S09__a__S02__mediante_met_modify,0.055,false
transition__S01__a__S01__mediante_met_makeOffer,0.044,false
transition__S10__a__S06__mediante_met_markInspected,0.018,false
transition__S09__a__S03__mediante_met_modify,0.032,false
transition__S10__a__S07__mediante_met_markInspected,0.046,false
transition__S01__a__S02__mediante_met_makeOffer,0.058,true
transition__S09__a__S04__mediante_met_modify,0.043,false
transition__S10__a__S08__mediante_met_markInspected,0.052,false
transition__S01__a__S03__mediante_met_makeOffer,0.055,false
transition__S09__a__S05__mediante_met_modify,0.05,false
transition__S10__a__S09__mediante_met_markInspected,0.046,false
transition__S01__a__S04__mediante_met_makeOffer,0.061,false
transition__S09__a__S06__mediante_met_modify,0.053,false
transition__S10__a__S10__mediante_met_markInspected,0.047,false
transition__S09__a__S07__mediante_met_modify,0.045,false
transition__S01__a__S05__mediante_met_makeOffer,0.063,false
transition__S01__a__S06__mediante_met_makeOffer,0.035,false
transition__S09__a__S08__mediante_met_modify,0.064,false
transition__S01__a__S07__mediante_met_makeOffer,0.048,false
transition__S09__a__S09__mediante_met_modify,0.068,false
transition__S01__a__S08__mediante_met_makeOffer,0.076,false
transition__S09__a__S10__mediante_met_modify,0.048,false
transition__S01__a__S09__mediante_met_makeOffer,0.055,false
transition__S05__a__S01__mediante_met_makeOffer,0.076,false
transition__S01__a__S10__mediante_met_makeOffer,0.076,false
transition__S05__a__S02__mediante_met_makeOffer,0.055,false
transition__S02__a__S01__mediante_met_makeOffer,0.055,false
transition__S05__a__S03__mediante_met_makeOffer,0.083,false
transition__S02__a__S02__mediante_met_makeOffer,0.04,false
transition__S05__a__S04__mediante_met_makeOffer,0.044,false
transition__S02__a__S03__mediante_met_makeOffer,0.071,false
transition__S05__a__S05__mediante_met_makeOffer,0.041,false
transition__S05__a__S06__mediante_met_makeOffer,0.039,false
transition__S02__a__S04__mediante_met_makeOffer,0.064,false
transition__S05__a__S07__mediante_met_makeOffer,0.035,false
transition__S02__a__S05__mediante_met_makeOffer,0.047,false
transition__S05__a__S08__mediante_met_makeOffer,0.064,false
transition__S02__a__S06__mediante_met_makeOffer,0.047,false
transition__S05__a__S09__mediante_met_makeOffer,0.052,false
transition__S02__a__S07__mediante_met_makeOffer,0.055,false
transition__S05__a__S10__mediante_met_makeOffer,0.036,false
transition__S02__a__S08__mediante_met_makeOffer,0.043,false
transition__S06__a__S01__mediante_met_makeOffer,0.042,false
transition__S02__a__S09__mediante_met_makeOffer,0.034,false
transition__S02__a__S10__mediante_met_makeOffer,0.031,false
transition__S06__a__S02__mediante_met_makeOffer,0.065,false
transition__S03__a__S01__mediante_met_makeOffer,0.044,false
transition__S06__a__S03__mediante_met_makeOffer,0.051,false
transition__S03__a__S02__mediante_met_makeOffer,0.037,false
transition__S06__a__S04__mediante_met_makeOffer,0.047,false
transition__S03__a__S03__mediante_met_makeOffer,0.048,false
transition__S06__a__S05__mediante_met_makeOffer,0.046,false
transition__S03__a__S04__mediante_met_makeOffer,0.034,false
transition__S06__a__S06__mediante_met_makeOffer,0.027,false
transition__S03__a__S05__mediante_met_makeOffer,0.055,false
transition__S06__a__S07__mediante_met_makeOffer,0.032,false
transition__S06__a__S08__mediante_met_makeOffer,0.03,false
transition__S03__a__S06__mediante_met_makeOffer,0.05,false
transition__S06__a__S09__mediante_met_makeOffer,0.047,false
transition__S03__a__S07__mediante_met_makeOffer,0.044,false
transition__S03__a__S08__mediante_met_makeOffer,0.026,false
transition__S06__a__S10__mediante_met_makeOffer,0.053,false
transition__S03__a__S09__mediante_met_makeOffer,0.038,false
transition__S07__a__S01__mediante_met_makeOffer,0.048,false
transition__S03__a__S10__mediante_met_makeOffer,0.047,false
transition__S07__a__S02__mediante_met_makeOffer,0.029,false
transition__S07__a__S03__mediante_met_makeOffer,0.032,false
transition__S04__a__S01__mediante_met_makeOffer,0.034,false
transition__S07__a__S04__mediante_met_makeOffer,0.036,false
transition__S04__a__S02__mediante_met_makeOffer,0.043,false
transition__S07__a__S05__mediante_met_makeOffer,0.047,false
transition__S04__a__S03__mediante_met_makeOffer,0.05,false
transition__S04__a__S04__mediante_met_makeOffer,0.031,false
transition__S07__a__S06__mediante_met_makeOffer,0.06,false
transition__S04__a__S05__mediante_met_makeOffer,0.038,false
transition__S07__a__S07__mediante_met_makeOffer,0.035,false
transition__S07__a__S08__mediante_met_makeOffer,0.036,false
transition__S04__a__S06__mediante_met_makeOffer,0.063,false
transition__S07__a__S09__mediante_met_makeOffer,0.048,false
transition__S04__a__S07__mediante_met_makeOffer,0.045,false
transition__S07__a__S10__mediante_met_makeOffer,0.049,false
transition__S04__a__S08__mediante_met_makeOffer,0.041,false
transition__S08__a__S01__mediante_met_makeOffer,0.028,false
transition__S04__a__S09__mediante_met_makeOffer,0.066,false
transition__S08__a__S02__mediante_met_makeOffer,0.051,false
transition__S04__a__S10__mediante_met_makeOffer,0.027,false
transition__S08__a__S03__mediante_met_makeOffer,0.045,false
transition__S01__a__S01__mediante_met_acceptOffer,0.048,false
transition__S08__a__S04__mediante_met_makeOffer,0.065,false
transition__S01__a__S02__mediante_met_acceptOffer,0.064,false
transition__S08__a__S05__mediante_met_makeOffer,0.05,false
transition__S01__a__S03__mediante_met_acceptOffer,0.042,false
transition__S08__a__S06__mediante_met_makeOffer,0.042,false
transition__S01__a__S04__mediante_met_acceptOffer,0.039,false
transition__S08__a__S07__mediante_met_makeOffer,0.057,false
transition__S01__a__S05__mediante_met_acceptOffer,0.052,false
